stem,content,style,params,raw_path,fin_path,content_path,edge_iou_raw,edge_iou_fin,delta_edge_iou,edge_density_raw,edge_density_fin,delta_edge_density,color_raw,color_fin,delta_color,lpips_raw_fin
portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.3_layers45,portrait2,Ukiyo-e_print,sw14k_tv0.003_edge0.12_fp1_cpm0.3_layers45,out\phase2\imgs\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.3_layers45_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.3_layers45_final.jpg,data\content\portrait2.jpg,0.09425460636515913,0.05940160157235628,-0.03485300479280285,0.07292683919270833,0.09742058648003472,0.024493747287326395,19.715541856144387,20.727324062977097,1.0117822068327094,0.5848492383956909
portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.6_layers45,portrait2,Ukiyo-e_print,sw14k_tv0.003_edge0.12_fp1_cpm0.6_layers45,out\phase2\imgs\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.6_layers45_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.6_layers45_final.jpg,data\content\portrait2.jpg,0.09076949653544214,0.06413646576891918,-0.026633030766522958,0.0585174560546875,0.0802035861545139,0.021686130099826395,22.060867198127475,18.899138171318842,-3.161729026808633,0.5036962628364563
portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers345,portrait2,Ukiyo-e_print,sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers345,out\phase2\imgs\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers345_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers345_final.jpg,data\content\portrait2.jpg,0.04589220071748085,0.038596121214445264,-0.007296079503035582,0.16235860188802084,0.1458468967013889,-0.016511705186631948,28.936780974512246,20.233561997686838,-8.703218976825408,0.3814171552658081
portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers45,portrait2,Ukiyo-e_print,sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers45,out\phase2\imgs\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers45_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw14k_tv0.003_edge0.12_fp1_cpm0.8_layers45_final.jpg,data\content\portrait2.jpg,0.08896611642050391,0.06217285331841611,-0.026793263102087794,0.047171698676215276,0.05230882432725695,0.005137125651041671,24.13897014387975,18.916522889052096,-5.222447254827653,0.49198779463768005
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.04_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.90_final.jpg,data\content\portrait2.jpg,0.07170261241161124,0.0575147878360021,-0.014187824575609145,0.1160888671875,0.12978956434461805,0.013700697157118052,25.82818651440449,18.92502374446529,-6.9031627699392,0.4808329939842224
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.04_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.95_final.jpg,data\content\portrait2.jpg,0.07486513692796118,0.059885669681803574,-0.014979467246157604,0.10337660047743055,0.11871337890625,0.015336778428819448,24.943417741658216,18.850592343102186,-6.09282539855603,0.48718753457069397
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp1.00,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.04_fp1.00,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp1.00_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp1.00_final.jpg,data\content\portrait2.jpg,0.07459294262673995,0.05706361114900196,-0.01752933147773799,0.10405137803819445,0.1198306613498264,0.015779283311631948,24.93335764927639,18.891911500528696,-6.041446148747696,0.4860566556453705
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.08_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp0.90_final.jpg,data\content\portrait2.jpg,0.07591357975988533,0.0580793693243259,-0.017834210435559432,0.10088941786024305,0.11644999186197917,0.015560574001736119,24.901000991508692,18.874087474597818,-6.026913516910874,0.4880810081958771
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.08_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp0.95_final.jpg,data\content\portrait2.jpg,0.07988382625699127,0.06013570502410715,-0.019748121232884115,0.089508056640625,0.10494825575086805,0.015440199110243052,24.046362188490274,18.86663425572042,-5.179727932769854,0.4914180040359497
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp1.00,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.08_fp1.00,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp1.00_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.08_fp1.00_final.jpg,data\content\portrait2.jpg,0.07762814637241769,0.059589108183554534,-0.018039038188863155,0.09173414442274305,0.10889689127604167,0.01716274685329862,24.377229092529596,18.923745917031,-5.453483175498597,0.49318021535873413
