stem,content,style,params,raw_path,fin_path,content_path,edge_iou_raw,edge_iou_fin,delta_edge_iou,edge_density_raw,edge_density_fin,delta_edge_density,color_raw,color_fin,delta_color,lpips_raw_fin
portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384,portrait2,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384,out\hparam_study\size_time\imgs\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384_500.jpg,out\hparam_study\size_time\finals\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384_500_final.jpg,data\content\portrait2.jpg,0.05063859509080024,0.04402297399646554,-0.006615621094334695,0.23809814453125,0.1768256293402778,-0.06127251519097221,45.1807719394989,43.252697327814616,-1.9280746116842806,
portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384_5,portrait2,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384_5,out\hparam_study\size_time\imgs\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384_5_384.jpg,out\hparam_study\size_time\finals\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_384_5_final.jpg,data\content\portrait2.jpg,0.13572371315442147,0.04911405470497161,-0.08660965844944986,0.05750868055555555,0.11789957682291667,0.06039089626736112,43.07418060450733,40.046207247893385,-3.0279733566139484,
portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,portrait2,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,out\hparam_study\size_time\imgs\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500.jpg,out\hparam_study\size_time\finals\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500_final.jpg,data\content\portrait2.jpg,0.05156501868811224,0.039934591591473265,-0.011630427096638973,0.18446731567382812,0.15937042236328125,-0.025096893310546875,45.165369768083956,43.484784588220634,-1.6805851798633213,
portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_5,portrait2,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_5,out\hparam_study\size_time\imgs\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_5_512.jpg,out\hparam_study\size_time\finals\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_5_final.jpg,data\content\portrait2.jpg,0.11909529443888231,0.04346721540532988,-0.07562807903355243,0.05181884765625,0.11469650268554688,0.06287765502929688,43.246576940509044,40.4401641749735,-2.8064127655355406,
portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768,portrait2,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768,out\hparam_study\size_time\imgs\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768_500.jpg,out\hparam_study\size_time\finals\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768_500_final.jpg,data\content\portrait2.jpg,0.05328379233611661,0.03519140621239977,-0.018092386123716837,0.13711378309461805,0.1445041232638889,0.007390340169270843,44.99489838385467,42.50609872851392,-2.488799655340749,
portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768_5,portrait2,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768_5,out\hparam_study\size_time\imgs\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768_5_768.jpg,out\hparam_study\size_time\finals\portrait2__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_768_5_final.jpg,data\content\portrait2.jpg,0.11646758642491024,0.041015931209976,-0.07545165521493424,0.046000162760416664,0.10851881239149305,0.0625186496310764,43.57051420670234,40.72209028425611,-2.84842392244623,
