stem,content,style,params,raw_path,fin_path,content_path,edge_iou_raw,edge_iou_fin,delta_edge_iou,edge_density_raw,edge_density_fin,delta_edge_density,color_raw,color_fin,delta_color,lpips_raw_fin
portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512,portrait2,Monet,sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512,out\hparam_study\content_weight\imgs\portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512_500.jpg,out\hparam_study\content_weight\finals\portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512_500_final.jpg,data\content\portrait2.jpg,0.05247261744478003,0.040920145926226184,-0.011552471518553847,0.17867660522460938,0.1539306640625,-0.024745941162109375,45.38475111328728,43.9230199695382,-1.461731143749077,
portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512,portrait2,Monet,sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512,out\hparam_study\content_weight\imgs\portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512_500.jpg,out\hparam_study\content_weight\finals\portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512_500_final.jpg,data\content\portrait2.jpg,0.04994400895856663,0.037730491083260764,-0.012213517875305863,0.19049453735351562,0.1671142578125,-0.023380279541015625,44.93962653745338,43.1562376559797,-1.7833888814736767,
portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512,portrait2,Monet,sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512,out\hparam_study\content_weight\imgs\portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512_500.jpg,out\hparam_study\content_weight\finals\portrait2__Monet__sw17000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512_500_final.jpg,data\content\portrait2.jpg,0.05078397993011379,0.03936449113953993,-0.011419488790573862,0.18170166015625,0.15915298461914062,-0.022548675537109375,45.16014177864935,43.39576349946636,-1.764378279182985,
portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512,portrait2,Monet,sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512,out\hparam_study\content_weight\imgs\portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512_500.jpg,out\hparam_study\content_weight\finals\portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw0.5_512_500_final.jpg,data\content\portrait2.jpg,0.05258479956466534,0.04072341752416589,-0.011861382040499448,0.17937469482421875,0.14899063110351562,-0.030384063720703125,45.551542123152196,44.40053614016894,-1.151005982983257,
portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512,portrait2,Monet,sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512,out\hparam_study\content_weight\imgs\portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512_500.jpg,out\hparam_study\content_weight\finals\portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1.5_512_500_final.jpg,data\content\portrait2.jpg,0.05088743340007466,0.03882480452117365,-0.012062628878901006,0.19426727294921875,0.16276168823242188,-0.031505584716796875,45.05553017337137,43.32772489846893,-1.727805274902444,
portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512,portrait2,Monet,sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512,out\hparam_study\content_weight\imgs\portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512_500.jpg,out\hparam_study\content_weight\finals\portrait2__Monet__sw24000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_cw1_512_500_final.jpg,data\content\portrait2.jpg,0.0516617660162167,0.04064541674915858,-0.01101634926705812,0.18313217163085938,0.1585235595703125,-0.024608612060546875,45.15094623759567,43.618549834711196,-1.5323964028844728,
